Страна,Тип компании,Кем работаю,Должность,Как отразился карантин
Казахстан,Компания аутсорс,Свой вариант,Mid,Никак
Казахстан,Продуктовая компания,Программист,Mid,Никак
Казахстан,IT отдел в компании,Product,Senior,Никак
Казахстан,Компания аутсорс,Свой вариант,Manager,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Казахстан,Продуктовая компания,Программист,Mid,Никак
Казахстан,Продуктовая компания,Программист,Mid,Никак
Казахстан,Компания аутсорс,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Казахстан,IT отдел в компании,Программист,Mid,Никак
Казахстан,IT отдел в компании,Программист,Junior,Никак
Казахстан,IT отдел в компании,Программист,Mid,Никак
Казахстан,Компания аутсорс,Программист,Mid,Никак
Казахстан,Продуктовая компания,Программист,Senior,Никак
Казахстан,IT отдел в компании,Программист,Junior,Никак
Казахстан,Продуктовая компания,Программист,Mid,Никак
Казахстан,Фрилансер,Свой вариант,Mid,Никак
Казахстан,Компания аутсорс,Business Analysis,,Никак
Казахстан,IT отдел в компании,Программист,Mid,Никак
Казахстан,IT отдел в компании,Свой вариант,другое,Никак
Казахстан,Проектная работа (например веб-студия),Программист,Mid,Поперли заказы / Стало лучше
Казахстан,Компания аутсорс,Программист,Senior,Никак
Казахстан,Проектная работа (например веб-студия),Свой вариант,Mid,Никак
Казахстан,IT отдел в компании,Программист,Junior,Поперли заказы / Стало лучше
Казахстан,Продуктовая компания,Программист,Mid,Никак
Казахстан,IT отдел в компании,Программист,Mid,Никак
Казахстан,Продуктовая компания,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Казахстан,IT отдел в компании,Свой вариант,,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Казахстан,Фрилансер,Программист,Junior,Никак
Казахстан,IT отдел в компании,Системный администратор,Senior,Никак
Казахстан,Продуктовая компания,Программист,Mid,Никак
Казахстан,Проектная работа (например веб-студия),Программист,Junior,Никак
Казахстан,Компания аутсорс,Программист,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Казахстан,IT отдел в компании,Свой вариант,Mid,Никак
Казахстан,Проектная работа (например веб-студия),Программист,Junior,Никак
Казахстан,Продуктовая компания,Программист,Senior,Никак
Казахстан,Продуктовая компания,Программист,Senior,Никак
Казахстан,IT отдел в компании,Business Analysis,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Казахстан,Продуктовая компания,Программист,Mid,Никак
Казахстан,Продуктовая компания,Программист,Mid,Никак
Казахстан,IT отдел в компании,Программист,Senior,Никак
Казахстан,IT отдел в компании,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Казахстан,IT отдел в компании,Программист,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Казахстан,Продуктовая компания,Программист,Mid,Никак
Казахстан,Компания аутсорс,Свой вариант,Mid,Поперли заказы / Стало лучше
Казахстан,Компания аутсорс,Business Analysis,Mid,Никак
Казахстан,Продуктовая компания,Программист,Senior,Никак
Казахстан,Проектная работа (например веб-студия),Программист,Junior,Никак
Казахстан,IT отдел в компании,Программист,Mid,Никак
Казахстан,IT отдел в компании,Системный администратор,Senior,Никак
Канада,Продуктовая компания,Программист,Senior,Никак
Канада,Проектная работа (например веб-студия),Программист,Junior,Никак
Канада,Продуктовая компания,Программист,Senior,Никак
Канада,Продуктовая компания,QA,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Канада,Продуктовая компания,Программист,Mid,Никак
Канада,Продуктовая компания,Программист,Senior,Никак
Канада,Фрилансер,Программист,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Канада,Продуктовая компания,Программист,Junior,Никак
Молдова,Проектная работа (например веб-студия),Программист,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Молдова,Проектная работа (например веб-студия),QA,Mid,Никак
Молдова,Компания аутсорс,Программист,Junior,Никак
Молдова,Продуктовая компания,Программист,Senior,Никак
Молдова,Продуктовая компания,Business Analysis,Manager,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Молдова,Компания аутсорс,Программист,Mid,Никак
